idx,usage,sentence,ground_truth_label
104,select,this nickleby thing might have more homosexual undertones than an eddie murphy film . ,0
105,select,is worse : ,0
106,select,wait to see it then . ,0
107,select,because he acts so goofy all the time ,0
108,select,"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . ",0
109,select,"mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . ",0
110,select,that it progresses in such a low-key manner that it risks monotony ,0
111,select,despite suffering a sense-of-humour failure ,0
112,select,"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand . ",0
113,select,tries to add some spice to its quirky sentiments but the taste is all too familiar . ,0
114,select,big fat waste of time . ,0
115,select,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0
116,select,"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ",0
117,select,"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ",0
118,select,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension . ,0
119,select,that 's far too tragic to merit such superficial treatment ,0
120,select,in this wildly uneven movie ,0
121,select,not everything ,0
122,select,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0
123,select,it is supremely unfunny and unentertaining to watch middle-age and ,0
124,select,told in scattered fashion ,0
125,select,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0
126,select,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0
127,select,it made me want to wrench my eyes out of my head and toss them at the screen . ,0
128,select,just too silly ,0
129,select,a thoroughly awful movie ,0
130,select,a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) . ,0
131,select,starts off so bad that you feel like running out screaming ,0
132,select,american chai encourages rueful laughter at stereotypes only an indian-american would recognize . ,0
133,select,"come , already having been recycled more times than i 'd care to count ",0
134,select,"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0
135,select,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0
136,select,something like scrubbing the toilet . ,0
137,select,almost gags on its own gore . ,0
138,select,another in-your-face wallow in the lower depths made by people who have never sung those blues . ,0
139,select,run for cover ,0
140,select,"( less a movie than ) an appalling , odoriferous thing ... so ",0
141,select,"stultifyingly , dumbfoundingly , mind-numbingly bad . ",0
142,select,the energy it takes to describe how bad it is ,0
143,select,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' ",0
144,select,"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ",0
145,select,"the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original . ",0
146,select,seem weird and distanced ,0
147,select,"this piece of channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast . ",0
148,select,far less sophisticated and ,0
149,select,yet this grating showcase ,0
150,select,too much of it feels unfocused and underdeveloped . ,0
151,select,disappointments ,0
152,select,the movie 's accumulated force still feels like an ugly knot tightening in your stomach . ,0
153,select,ugly as the shabby digital photography ,0
154,select,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",0
155,select,... is an arthritic attempt at directing by callie khouri . ,0
156,select,horrifying ,0
157,select,do n't be fooled by the impressive cast list - eye see you is pure junk . ,0
158,select,a sometimes tedious film . ,0
159,select,oblivious to the existence of this film ,0
160,select,a valueless kiddie paean to pro basketball underwritten by the nba . ,0
161,select,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ",0
162,select,"works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them . ",0
163,select,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0
164,select,just copies ,0
165,select,"comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class . ",0
166,select,"without non-stop techno or the existential overtones of a kieslowski morality tale , maelström is just another winter sleepers . ",0
167,select,"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ",0
168,select,suffers from the lack of a compelling or comprehensible narrative . ,0
169,select,"at its worst , it implodes in a series of very bad special effects . ",0
170,select,"it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination . ",0
171,select,makes for a pretty unpleasant viewing experience . ,0
172,select,is never any question of how things will turn out ,0
173,select,with fewer gags to break the tedium ,0
174,select,"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ",0
175,select,"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this . ",0
176,select,nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,0
177,select,"it 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism . ",0
178,select,men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,0
179,select,a depressed fifteen-year-old 's suicidal poetry ,0
180,select,"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ",0
181,select,", plodding picture ",0
182,select,is not even half the interest . ,0
183,select,"unfortunately , it 's not silly fun unless you enjoy really bad movies . ",0
184,select,the heavy-handed film is almost laughable as a consequence . ,0
185,select,"for all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution . ",0
186,select,may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . ,0
187,select,the iditarod lasts for days - this just felt like it did . ,0
188,select,'s a lousy one at that ,0
189,select,"while it 's genuinely cool to hear characters talk about early rap records ( sugar hill gang , etc. ) , the constant referencing of hip-hop arcana can alienate even the savviest audiences . ",0
190,select,"no one involved , save dash , shows the slightest aptitude for acting ",0
191,select,schticky ,0
192,select,this movie seems to have been written using mad-libs . ,0
193,select,her bully of a husband ,0
194,select,volletta wallace 's maternal fury ,0
195,select,"even the finest chef ca n't make a hotdog into anything more than a hotdog , and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy . ",0
196,select,"in all , this is a watchable movie that 's not quite the memorable experience it might have been . ",0
197,select,a setup so easy it borders on facile ,0
198,select,my reaction in a word : disappointment . ,0
199,select,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,0
200,select,"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ",0
201,plot,burns never really harnesses to full effect the energetic cast . ,0
202,plot,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . ,0
203,plot,"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show . ",0
204,plot,how do you spell cliché ? ,0
205,plot,tedious norwegian offering which somehow snagged an oscar nomination . ,0
206,plot,than this mess ,0
207,plot,"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . ",0
208,plot,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0
209,plot,chokes on its own depiction of upper-crust decorum . ,0
210,plot,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,0
211,plot,overbearing and over-the-top ,0
212,plot,a résumé loaded with credits like `` girl in bar # 3 ,0
213,plot,"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ",0
214,plot,too much of the humor falls flat . ,0
215,plot,"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic . ",0
216,plot,", unassuming , subordinate ",0
217,plot,"as a director , eastwood is off his game ",0
218,plot,"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . ",0
219,plot,hide new secretions from the parental units ,0
220,plot,the horror ,0
221,plot,"yes , dull . ",0
222,plot,"walked out muttering words like `` horrible '' and `` terrible , '' ",0
223,plot,"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ",0
224,plot,a subject like this should inspire reaction in its audience ; the pianist does not . ,0
225,plot,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . ",0
226,plot,"the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes . ",0
227,plot,rarely has leukemia looked so shimmering and benign . ,0
228,plot,"serves as auto-critique , and its clumsiness as its own most damning censure . ",0
229,plot,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . ,0
230,plot,"stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career . ",0
