idx,usage,sentence,ground_truth_label
117,select,"even if you do n't think ( kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch . ",1
118,select,"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists . ",1
119,select,the second coming of harry potter is a film far superior to its predecessor . ,1
120,select,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",1
121,select,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ",1
122,select,funny but perilously slight . ,1
123,select,filmmakers who can deftly change moods are treasures and even marvels . ,1
124,select,"may be more genial than ingenious , but it gets the job done . ",1
125,select,"feature debuter d.j. caruso directs a crack ensemble cast , bringing screenwriter tony gayton 's narcotics noir to life . ",1
126,select,a technically superb film ,1
127,select,is effective if you stick with it ,1
128,select,has a lot of the virtues of eastwood at his best . ,1
129,select,"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality . ",1
130,select,a passable date film ,1
131,select,that underscore the importance of family tradition and familial community ,1
132,select,the movie does a good job of laying out some of the major issues that we encounter as we journey through life . ,1
133,select,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,1
134,select,are an absolute joy ,1
135,select,"unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners . ",1
136,select,light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection . ,1
137,select,"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ",1
138,select,if your taste runs to ` difficult ' films you absolutely ca n't miss it . ,1
139,select,a beautifully ,1
140,select,"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",1
141,select,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn . ,1
142,select,the magic of the film lies not in the mysterious spring but in the richness of its performances . ,1
143,select,luminous interviews and amazingly evocative film from three decades ago ,1
144,select,a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love . ,1
145,select,showing honest emotions ,1
146,select,"it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself . ",1
147,select,"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . ",1
148,select,"and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins . ",1
149,select,"a quiet , pure , elliptical film ",1
150,select,and in the best way ,1
151,select,"it 's about following your dreams , no matter what your parents think . ",1
152,select,men ,1
153,select,"the film is quiet , threatening and unforgettable . ",1
154,select,it 's fun lite . ,1
155,select,can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,1
156,select,"exhilarating , funny and fun . ",1
157,select,for the most part stevens glides through on some solid performances and witty dialogue . ,1
158,select,"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ",1
159,select,"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand . ",1
160,select,the most purely enjoyable and satisfying evenings ,1
161,select,squareness that would make it the darling of many a kids-and-family-oriented cable channel ,1
162,select,one from the heart . ,1
163,select,an unorthodox little film noir organized crime story that includes one of the strangest ,1
164,select,one of the more intelligent children 's movies to hit theaters this year . ,1
165,select,in memory ,1
166,select,trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son . ,1
167,select,there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,1
168,select,"charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time . ",1
169,select,dover kosashvili 's outstanding feature debut so potent ,1
170,select,"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books . ",1
171,select,"looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . ' ",1
172,select,the characters are interesting and often very creatively constructed from figure to backstory . ,1
173,select,"a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana . ",1
174,select,in world cinema ,1
175,select,does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,1
176,select,"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",1
177,select,( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . ,1
178,select,respectable new one ,1
179,select,"( næs ) directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage . ",1
180,select,this film special ,1
181,select,for a story ,1
182,select,"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ",1
183,select,"if it is n't entirely persuasive , it does give exposure to some talented performers ",1
184,select,", compelling ",1
185,select,"another one of those estrogen overdose movies like `` divine secrets of the ya ya sisterhood , '' except that the writing , acting and character development are a lot better . ",1
186,select,the cast is spot on and ,1
187,select,true tale of courage -- and complicity -- at auschwitz is a harrowing drama that tries to tell of the unspeakable . ,1
188,select,spiffy animated feature ,1
189,select,the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy . ,1
190,select,", sometimes beautiful adaptation ",1
191,select,the positive change in tone here seems to have recharged him . ,1
192,select,funny yet ,1
193,select,a delightful coming-of-age story . ,1
194,select,i just loved every minute of this film . ,1
195,select,the film 's performances are thrilling . ,1
196,select,at its best moments ,1
197,select,pays earnest homage to turntablists ,1
198,select,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1
199,select,seem fresh ,1
200,select,cool ? ,1
201,plot,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",1
202,plot,cinematic bon bons ,1
203,plot,speak for it while it forces you to ponder anew what a movie can be ,1
204,plot,"minority report is exactly what the title indicates , a report . ",1
205,plot,a giggle a minute . ,1
206,plot,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1
207,plot,"belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film . ",1
208,plot,blanchett 's performance confirms her power once again . ,1
209,plot,"a warm , funny , engaging film . ",1
210,plot,good-natured fun found in films like tremors ,1
211,plot,"this is a good script , good dialogue , funny even for adults . ",1
212,plot,we have n't seen such hilarity since say it is n't so ! ,1
213,plot,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1
214,plot,on all cylinders ,1
215,plot,"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ",1
216,plot,"not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit . ",1
217,plot,fashioning an engrossing entertainment out ,1
218,plot,largest-ever historical canvas ,1
219,plot,you have ellen pompeo sitting next to you for the ride ,1
220,plot,reign of fire looks as if it was made without much thought -- and is best watched that way . ,1
221,plot,it 's smooth and professional ,1
222,plot,"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all . ",1
223,plot,a fairly revealing study of its two main characters ,1
224,plot,"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ",1
225,plot,manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ,1
226,plot,"for the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions . ",1
227,plot,joyous romp of a film . ,1
228,plot,in addition to hoffman 's powerful acting clinic ,1
229,plot,as unseemly as its title suggests . ,1
230,plot,of saucy ,1
