pair_id,pred_set,sentence1,sentence2,ground_truth_label,avg_top5_nonparaphrase_features
Y15,predicted_yes,""" Both of these kids are in wonderful physical condition right now , "" he said during a press briefing at the hospital .",""" Both of these kids are in wonderful physical condition right now , "" said Goodrich , also director of pediatric neurosurgery at the Children 's Hospital at Montefiore .",1,1.607763
Y16,predicted_yes,"Respondents who rated current business conditions as "" bad "" increased to 30.4 % from 28.1 % in June .",""" Those rating present business conditions as ' bad ' increased to 30.4 per cent from 28.1 per cent , "" the report said .",1,51.275921
Y17,predicted_yes,"Another million barrels , bought by Spanish refiner Cepsa SA , was to be loaded onto a Spanish tanker , Sandra Tapias .","A Spanish tanker , Sandra Tapias , was to be loaded with another million barrels , bought by Spanish refiner Cepsa SA , in the afternoon .",1,157.967438
Y18,predicted_yes,"While a month 's supply of aspirin can cost less than $ 10 , the equivalent amount of ticlopidine can run significantly more than $ 100 .","While a month 's supply of aspirin can cost under $ 10 , the equivalent amount of ticlopidine can run well over $ 100 .",1,149.247650
Y19,predicted_yes,""" Of course I want to win again , but I think is worse when you never won before because you are very anxious , "" he says .",""" Of course , I want to win again , but it is worse when you have never won because you are anxious , "" he said .",1,0.000000
Y20,predicted_yes,A suburban Chicago man was arrested Wednesday on charges of secretly gathering information on Iraqi opposition figures as an unregistered agent of Saddam Hussein 's intelligence service .,The FBI arrested a suburban Chicago man Wednesday and charged him with secretly collecting information on individuals in the United States who opposed Saddam Hussein 's Iraqi government .,1,141.200165
Y21,predicted_yes,He said his hatred for such people grew from these discussions and had helped convince him violence was the answer .,His hatred for these people had germinated from these discussions and helped cement his belief that violence was the panacea .,1,0.000000
Y22,predicted_yes,"From California , Bush flies to Japan on Thursday , followed by visits to the Philippines , Thailand , Singapore , Indonesia and Australia before returning home on Oct. 24 .","Besides Japan he will visit the Philippines , Thailand , Singapore , Indonesia and Australia before returning home on Oct. 24 .",1,100.567001
Y23,predicted_yes,"The value will total about $ 124 million , including convertible securities , according to Corel .","Including convertible securities , the total estimated value of the deal is $ 124 million , according to Corel .",1,78.326630
Y24,predicted_yes,"Claudia Gonzles Herrera , an assistant attorney general in charge of the case , said the arrests show that Guatemala "" takes the defense of its ancient Maya heritage seriously . ""","Claudia Gonzales Herrera , an assistant attorney-general in charge of the case , said the arrests showed that Guatemala took the defence of its Mayan heritage seriously .",1,93.350197
Y25,predicted_yes,"The company said that with proper funding , ABthrax could be available for emergency use as early as the end of 2004 .",Human Genome said ABthrax could be available for emergency use as early as the end of 2004 .,1,78.371094
Y26,predicted_yes,Chief Executive Rod Eddington is to meet the three unions separately on Monday afternoon .,Eddington is to meet the other two unions separately later on Monday .,1,115.848282
Y27,predicted_yes,Vivace was founded in 1999 and has raised over $ 118 million in three rounds of venture financing .,"During difficult times for technology venture capital , Vivace raised over $ 118 million in three rounds of venture financing .",0,70.946754
Y28,predicted_yes,"Committee approval , expected today , would set the stage for debate on the Senate floor beginning Monday .",That would clear the way for debate in the full Senate beginning on Monday .,1,100.828583
Y29,predicted_yes,The AP quotes a local policeman as saying the British troops were targeted by townspeople angry over civilian deaths during a demonstration yesterday in the town of Majar Al-Kabir .,Associated Press quotes a local policeman as saying that the British troops were targeted by townspeople angry over civilian deaths during an earlier demonstration in the town of Majar al-Kabir .,1,115.861435
Y30,predicted_yes,Defense Secretary Donald Rumsfeld and other top Pentagon officials downplayed Wallace 's comments .,"The Defence Secretary , Donald Rumsfeld , and other top Pentagon officials played down his comments .",1,171.535614
N1,predicted_no,"In the United States , 20.7 percent of all women smoke .","Nevada is where the most women smoke , 28 percent .",0,120.941322
N2,predicted_no,"Island Def Jam must pay $ 52 million in punitive damages , and Cohen must pay the remaining $ 56 million , the jury said .","TVT Records sought $ 360 million in punitive damages and $ 30 million in compensatory damages , officials said .",0,131.947586
N3,predicted_no,"On Thursday , authorities evacuated residents who live in the canyon and closed off the road leading there .",Authorities evacuated residents and closed off the road leading to Waterman Canyon .,1,147.415497
N4,predicted_no,"In Canada , the booming dollar will be in focus again as it tries to stay above the 75 cent ( U.S. ) mark .","In Canada , the surging dollar was in focus again as it struggled and just failed to stay above the 75 cent ( U.S. ) mark .",1,123.189941
N5,predicted_no,"Its shares fell 71 cents , or 3.5 percent , in after-hours trading to $ 19.55 .","The stock had risen 63 cents , or 3 percent , to close at $ 20.26 in regular-session Nasdaq trading .",0,48.348755
N6,predicted_no,""" Deviant cannibalistic tendencies "" were the primary motivation for the murders , and Brown 's body was mutilated , authorities said .","They were killed over a few days in April 2001 and "" deviant cannibalistic tendencies "" were the primary motivation for the murders , authorities said .",0,0.000000
N7,predicted_no,"President Bush raised a record-breaking $ 49.5 million for his re-election campaign over the last three months , with contributions from 262,000 Americans , the president 's campaign chairman said Tuesday .","President Bush has raised $ 83.9 million since beginning his re-election campaign in May , and has $ 70 million of that left to spend , his campaign said Tuesday .",0,51.723469
N8,predicted_no,The appeals court hearing comes at a sensitive time for Microsoft .,The appeals court has generally proved a favorable venue for Microsoft .,0,117.439186
N9,predicted_no,"The fighting around Bunia began after neighboring Uganda completed the withdrawal of its more than 6,000 soldiers from the town .","The fighting begun May 7 after neighboring Uganda completed the withdrawal of its more than 6,000 soldiers from in an around Bunia .",1,78.371094
N10,predicted_no,"After the further analysis of the subset data , the companies plan to discuss the results with regulators and then determine how to proceed .",The two companies plan further analysis of the subset data and will discuss the results with regulatory agencies .,0,95.759460
N11,predicted_no,"The 30-year bond US30YT = RR slid 1-10 / 32 for a yield of 4.30 percent , up from 4.23 percent .","The 30-year bond US30YT = RR jumped 20 / 32 , taking its yield to 4.14 percent from 4.18 percent .",0,79.077652
N12,predicted_no,"But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .",1,148.502701
N13,predicted_no,""" We will accede to the request while we explore all of our options , "" VeriSign spokesman Tom Galvin told Reuters .","We will accede to the request while we explore all of our options , "" said Russell Lewis , executive vice president of VeriSign 's Naming and Directory Services Group .",1,1.440484
N14,predicted_no,"The company is working with the ObjectWeb consortium , Apache Software Foundation and the Eclipse IDE development community as part of the effort .","This framework will be based on the company 's work with the ObjectWeb consortium , Apache Software Foundation and the Eclipse IDE community .",1,78.371094
N15,predicted_no,""" The Republicans went into a closet , met with themselves , and announced a ' compromise . ' """,""" The Republicans went into a closet , met with themselves , and announced a compromise , "" Hollings said in a statement .",1,0.000000
N16,predicted_no,"They said no decisions had been made about how many troops would be moved , where they would come from , or where they would end up .","They added that decisions have been made about how many troops will be moved , where they will come from , or where they will end up .",1,49.510475
N17,predicted_no,""" They 've been in the stores for over six weeks , "" says Carney .","The quarterlies usually stay in stores for between six to eight weeks , "" Carney added .",1,0.000000
N18,predicted_no,Mr. Rowland attended a party in South Windsor for the families of Connecticut National Guard soldiers called to active duty .,Rowland was making an appearance at a holiday party for families of Connecticut National Guard soldiers assigned to duty in Iraq and Afghanistan .,1,91.524254
N19,predicted_no,"Mills affected by Thursdays announcement are sawmills in Grande Cache , Alta . , Carrot River , Sask . , Chapleau , Ont . , and Aberdeen , Wash .","They are located in Grande Cache , Alta . , Carrot River , Sask . , Chapleau , Ont . , and Aberdeen , Wash .",1,73.144760
N20,predicted_no,They remain 40 percent below the levels prior to February 's initial overstatement news .,The stock remains 43 percent below levels prior to the February overstatement news .,1,49.510475
N21,predicted_no,The blasts killed two people and injured more than 150 others .,The Atlanta Olympic Games attack killed one woman and injured more than 100 other people .,0,78.371094
N22,predicted_no,"We don 't know if any will be SARS , "" said Dr. James Young , Ontario 's commissioner of public safety .",""" We 're being hyper-vigilant , "" said Dr. James Young , Ontario 's commissioner of public safety .",0,79.744179
N23,predicted_no,"Shares of LendingTree soared $ 5.99 , or 40.1 percent , to $ 20.68 in afternoon trading on the Nasdaq Stock Market .","Shares of LendingTree rose $ 6.21 , or 42 percent , to $ 20.90 after hitting $ 21.36 earlier .",0,64.242462
N24,predicted_no,"For the third time in the past four years , wildfires are the problem .",It was the third time in four years that wildfires forced the park to close .,1,132.374084
N25,predicted_no,Shares of Coke closed New York Stock Exchange trading Thursday at $ 44.01 .,"In morning trading on the New York Stock Exchange , Coca-Cola shares were down 34 cents at $ 43.67 .",0,62.915253
N26,predicted_no,About 10 percent of high school and 16 percent of elementary students must be proficient at math .,"In math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient .",1,102.601242
N27,predicted_no,Feral 's group was behind a successful tourism boycott about a decade ago that resulted in then-Gov . Walter J. Hickel imposing a moratorium on wolf control in 1992 .,"Friends of Animals , which touts 200,000 members , was behind a successful tourism boycott that resulted in then-Gov . Walter J. Hickel imposing a moratorium on wolf control in 1992 .",1,0.000000
N28,predicted_no,"The bank also said its offer was subject to the agreement of Drax 's senior banks , senior bond holders and hedging banks by 30 September 2003 .","The offer is also subject to Goldman signing an agreement with Drax 's senior banks , senior bond holders and hedging banks by Sept . 30 , it said .",1,115.861435
N29,predicted_no,Helicopters hovered over al-Khalidiya into the early hours of Sunday .,Helicopters hovered throughout the day over the Al-Khalidiya neighborhood where the raid took place .,1,48.598564
N30,predicted_no,"If Poland , Spain and Germany were prepared to make concessions in Brussels , the basis for a deal could be found .",""" Poland , Spain and Germany , were ready to talk about a deal , "" he said .",0,116.948349
