pair_id,pred_set,sentence1,sentence2,ground_truth_label,avg_top5_nonparaphrase_features
Y27,predicted_yes,"Bush said resistance forces hostile to the U.S. presence "" feel like ... the conditions are such that they can attack us there .",There are some who feel like the conditions are such that they can attack us there .,1,0.040302
Y28,predicted_yes,""" I am happy to be here in the United States , far away from the clutches of the tyrant Castro , "" Wilson said through a Spanish interpreter .",""" I am very happy to be here in the United States far away from the clutches of the tyrant Castro , "" Wilson told the judge .",1,0.068375
Y29,predicted_yes,"I 've still got a fighting chance , though , "" Hewitt said after battling to overcome Davydenko 6-3 4-6 6-3 7-6 ( 7-5 ) on centre court .",""" I 'm still not red-hot favourite , "" Hewitt said after battling to down Davydenko 6-3 4-6 6-3 7-6 ( 7-5 ) on centre court .",0,0.088976
Y30,predicted_yes,""" People just love e-mail , and it really bothers them that spam is ruining such a good thing , "" said Deborah Fallows , the Pew researcher who wrote the report .",""" People just love e-mail , and it really bothers them that spam is ruining such a good thing , "" said Deborah Fallows , senior research fellow with the Pew project .",1,0.179203
N1,predicted_no,"Harris and Klebold killed 12 students and a teacher before taking their own lives on April 20 , 1999 .","Harris and Klebold killed 12 students , a teacher and themselves at the school .",1,0.342563
N2,predicted_no,"Jordan Green , the prelate 's private lawyer , said he had no comment .","O 'Brien 's attorney , Jordan Green , declined to comment .",1,0.275714
N3,predicted_no,"CIA Director George Tenet said the two men were "" defined by dedication and courage . """,""" [ They ] were defined by dedication and courage , "" said the CIA 's director George Tenet .",1,0.171822
N4,predicted_no,Justice Anthony Kennedy dissented in an opinion joined by Chief Justice William Rehnquist and Justices Antonin Scalia and Clarence Thomas .,He was joined by Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas .,1,0.079459
N5,predicted_no,"Blair has said there is not ' ' a shred of truth ' ' in allegations the government manipulated evidence , and has resisted calls for a full public inquiry .",Blair has said there is not ``a shred of truth ' ' in allegations that the government manipulated evidence about Iraq 's weapons programs .,0,0.159257
N6,predicted_no,"At first blush , then , the distinction drawn by the creators of the do-not-call registry would seem to draw the line in precisely the right place .","At first blush , then , the creators of the registry would seem to have drawn the line between exempted and banned calls in the right place .",1,0.138949
N7,predicted_no,"Shares closed on NASDAQ just below their 52-week high , at $ 32.17 , up $ 1.54 .","Trading of EchoStar 's stock closed Tuesday at a 52-week high of $ 32.17 , up $ 1.54 .",0,0.080526
N8,predicted_no,"EU ministers were invited to the conference but canceled because the union is closing talks on agricultural reform , said Gerry Kiely , a EU agriculture representative in Washington .","Gerry Kiely , a EU agriculture representative in Washington , said EU ministers were invited but canceled because the union is closing talks on agricultural reform .",1,0.144574
N9,predicted_no,"Under Kansas law , it is illegal for children under the age of 16 to have sexual relations .","In the opinion , Kline noted that it is illegal for children that young to have sexual relations .",1,0.221245
N10,predicted_no,"Dennehy , 21 , hasn 't been heard from in more than two weeks , and police suspect he was killed in the Waco area .","Authorities and Baylor officials say Dennehy , 21 , hasn 't been heard from in more than two weeks .",0,0.277699
N11,predicted_no,"SSE shares were little changed , up 0.3 percent at 654 pence by 1018 GMT , but analysts welcomed the move .",SSE shares were unchanged at 652 pence by 0835 GMT but analysts welcomed the deal .,1,0.148908
N12,predicted_no,"Spot gold was quoted at $ 367.90 / 368.60 an ounce at 1000 GMT , having marched up to $ 369.50 -- a level not seen since February 10 .","Spot gold was quoted at $ 358.65 / 359.15 an ounce at 0500 GMT , having darted as high as $ 359.25 -- a level not seen since February 25 .",0,0.160777
N13,predicted_no,July Brent rose 31 cents to $ 28.39 per barrel on London 's International Petroleum Exchange .,Brent crude for July delivery fell 38 cents to $ 27.45 a barrel on London 's International Petroleum Exchange .,1,0.044676
N14,predicted_no,The U.S. Supreme Court will hear arguments on Wednesday on whether companies can be sued under the Americans with Disabilities Act for refusing to rehire rehabilitated drug users .,The high court will hear arguments today on whether companies can be sued under the ADA for refusing to rehire rehabilitated drug users .,1,0.118588
N15,predicted_no,"Axelrod died in his sleep of heart failure , said his daughter , Nina Axelrod .","Axelrod died of heart failure while asleep at his Los Angeles home , said his daughter , Nina Axelrod .",1,0.245194
N16,predicted_no,Mr. Kozlowski contends that the event included business and that some of those attending were Tyco employees .,Mr. Kozlowski contends that the event was in large part a business function .,1,0.242494
N17,predicted_no,"Not only is this the oldest known planet , it 's also the most distant .",Astronomers have found the oldest and most distant planet known in the universe .,1,0.287979
N18,predicted_no,"The epidemic began in November in the mainland 's Guangdong province , but the People 's Republic of China refused to report truthfully about its spread for four months .","The PRC epidemic began in Guandong province in November , but the Communist Party government refused to report truthfully about its spread for four months .",1,0.378489
N19,predicted_no,"With 2.3 million members nationwide , the Episcopal Church is the U.S. branch of the 77 million-member global Anglican Communion .","The Episcopal Church , with 2.3 million members , is the U.S. branch of the 77 million-member Communion .",1,0.119383
N20,predicted_no,""" I started crying and yelling at him , ' What do you mean , what are you saying , why did you lie to me ? ' ""","Gulping for air , I started crying and yelling at him , ' What do you mean ?",0,0.050685
N21,predicted_no,""" The releases are the latest in a series of efforts by the government to move Myanmar to multi-party democracy and national conciliation . """,""" The releases are the latest in a series of efforts by the government to move Myanmar closer to multiparty democracy and national reconciliation , "" a government statement said .",1,0.064004
N22,predicted_no,"Several relatives of Australian victims of the attack were in court to witness the proceedings , but few Balinese attended the trial .","Several relatives of Australian victims of the attack sat in the front row of the court , but few Balinese attended the trial .",1,0.202486
N23,predicted_no,"A spokesman said : "" Further testing is under way but at this stage , given the early detection , the outlook is positive . """,""" Further testing is still under way , but at this stage , given the early detection , the outlook in such instances would be positive , "" the specialist said yesterday .",1,0.189697
N24,predicted_no,Sales of downloaded singles and albums will be included in Billboard 's charts for those configurations .,"Digital download sales of recorded albums and singles will be included in the album and singles sales charts , respectively .",1,0.207104
N25,predicted_no,"At 8 a.m. Friday , San Joaquin County Sheriff 's deputies found the body of Adan Avalos , 37 .",San Joaquin County sheriff 's deputies found 37-year-old Adan Avalos of Riverbank shot to death inside the SUV .,0,0.776861
N26,predicted_no,The face of President Saddam Hussein was added to Iraqi currency after the 1991 Gulf War .,Saddam 's portrait was added to Iraq 's currency after the Gulf War .,1,0.143817
N27,predicted_no,The men were remanded in custody and are due to appear again before court on July 8 .,They were remanded in custody and will appear in court again on July 8 .,1,0.218727
N28,predicted_no,But he added group performance would improve in the second half of the year and beyond .,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,1,0.171047
N29,predicted_no,"Peterson told police he fished alone in San Francisco Bay on Christmas Eve , returning to an empty house .",Peterson told police he left his wife at about 9 : 30 a.m. on Dec. 24 to fish alone in San Francisco Bay .,0,0.234673
N30,predicted_no,The acquisition has been approved by both companies ' board of directors and is expected to close in the third quarter this year .,"Nvidia 's acquisition has been approved by directors at both companies , and is expected to close in the Nvidia 's third quarter of fiscal 2004 .",1,0.144201
