idx,usage,sentence1,sentence2,ground_truth_label
13,select,July Brent rose 31 cents to $ 28.39 per barrel on London 's International Petroleum Exchange .,Brent crude for July delivery fell 38 cents to $ 27.45 a barrel on London 's International Petroleum Exchange .,1
14,select,The U.S. Supreme Court will hear arguments on Wednesday on whether companies can be sued under the Americans with Disabilities Act for refusing to rehire rehabilitated drug users .,The high court will hear arguments today on whether companies can be sued under the ADA for refusing to rehire rehabilitated drug users .,1
15,select,"Axelrod died in his sleep of heart failure , said his daughter , Nina Axelrod .","Axelrod died of heart failure while asleep at his Los Angeles home , said his daughter , Nina Axelrod .",1
16,select,Mr. Kozlowski contends that the event included business and that some of those attending were Tyco employees .,Mr. Kozlowski contends that the event was in large part a business function .,1
17,select,"Not only is this the oldest known planet , it 's also the most distant .",Astronomers have found the oldest and most distant planet known in the universe .,1
18,select,"The epidemic began in November in the mainland 's Guangdong province , but the People 's Republic of China refused to report truthfully about its spread for four months .","The PRC epidemic began in Guandong province in November , but the Communist Party government refused to report truthfully about its spread for four months .",1
19,select,"With 2.3 million members nationwide , the Episcopal Church is the U.S. branch of the 77 million-member global Anglican Communion .","The Episcopal Church , with 2.3 million members , is the U.S. branch of the 77 million-member Communion .",1
20,select,""" I started crying and yelling at him , ' What do you mean , what are you saying , why did you lie to me ? ' ""","Gulping for air , I started crying and yelling at him , ' What do you mean ?",0
21,select,""" The releases are the latest in a series of efforts by the government to move Myanmar to multi-party democracy and national conciliation . """,""" The releases are the latest in a series of efforts by the government to move Myanmar closer to multiparty democracy and national reconciliation , "" a government statement said .",1
22,select,"Several relatives of Australian victims of the attack were in court to witness the proceedings , but few Balinese attended the trial .","Several relatives of Australian victims of the attack sat in the front row of the court , but few Balinese attended the trial .",1
23,select,"A spokesman said : "" Further testing is under way but at this stage , given the early detection , the outlook is positive . """,""" Further testing is still under way , but at this stage , given the early detection , the outlook in such instances would be positive , "" the specialist said yesterday .",1
24,select,Sales of downloaded singles and albums will be included in Billboard 's charts for those configurations .,"Digital download sales of recorded albums and singles will be included in the album and singles sales charts , respectively .",1
25,select,"At 8 a.m. Friday , San Joaquin County Sheriff 's deputies found the body of Adan Avalos , 37 .",San Joaquin County sheriff 's deputies found 37-year-old Adan Avalos of Riverbank shot to death inside the SUV .,0
26,select,The face of President Saddam Hussein was added to Iraqi currency after the 1991 Gulf War .,Saddam 's portrait was added to Iraq 's currency after the Gulf War .,1
27,select,The men were remanded in custody and are due to appear again before court on July 8 .,They were remanded in custody and will appear in court again on July 8 .,1
28,select,But he added group performance would improve in the second half of the year and beyond .,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,1
29,select,"Peterson told police he fished alone in San Francisco Bay on Christmas Eve , returning to an empty house .",Peterson told police he left his wife at about 9 : 30 a.m. on Dec. 24 to fish alone in San Francisco Bay .,0
30,select,The acquisition has been approved by both companies ' board of directors and is expected to close in the third quarter this year .,"Nvidia 's acquisition has been approved by directors at both companies , and is expected to close in the Nvidia 's third quarter of fiscal 2004 .",1
31,select,"Mohcine Douali , who lives in the centre of Algiers , said : "" It was a great shock .",""" It was a great shock , "" said Mohcine Douali , who lives in central Algiers .",1
32,select,"Special police detained Khodorkovsky early on Saturday in the Siberian city of Novosibirsk , where his plane had made a refuelling stop .",Police detained Khodorkovsky early on Saturday when his jet made a refueling stop in the Siberian city of Novosibirsk .,1
33,select,DeVries did make one stop in town Wednesday - registering as a sex offender at the Soledad Police Department .,Convicted child molester Brian DeVries spoke out in response to community outrage Wednesday afternoon after registering as a sex offender at the Soledad Police Department .,0
34,select,"China accounted for about 14 percent of Motorola 's sales last year , and the company has large manufacturing operations there .",China accounted for 14 % of Motorola 's $ 26.7 billion in sales last year .,0
35,select,"Chad Kolton , emergency management spokesman with the Department of Homeland Security , said the government is open to new technologies and methods to communicate more quickly and efficiently .","Chad Kolton , emergency management spokesman with the Department of Homeland Security , said the government is open to new ways to communicate .",1
36,select,"After more than two years ' detention under the State Security Bureau , the four were found guilty of subversion in Beijing 's No. 1 Intermediate Court last Wednesday .","After more than two years in detention by the State Security Bureau , the four were found guilty last Wednesday of subversion .",1
37,select,Kelly will begin meetings with Russian Deputy Foreign Minister Alexander Losyukov in Washington on Monday .,Russian Deputy Foreign Minister Alexander Losyukov said in Moscow Tuesday a firm date would be fixed by this months end .,0
38,select,"Spot gold was fetching $ 365.25 / 366.25 an ounce at 0520 GMT , having galloped as high as $ 368.90 -- a level not seen since February 10 .","Spot gold was quoted at $ 367.90 / 368.60 an ounce at 1000 GMT , having marched up to $ 369.50 -- a level not seen since February 10 .",0
39,select,An episode is declared when the ozone reaches .20 parts per million parts of air for one hour .,A Stage 1 episode is declared when ozone levels reach 0.20 parts per million .,1
40,select,Details of the research appear in the Nov. 5 issue of the Journal of the American Medical Association .,"The results , published in the Journal of the American Medical Association , involved just 47 heart attack patients .",0
41,select,"Such a move has been widely predicted by industry observers and follows the recent announcement that Christopher Galvin , the company 's chairman and chief executive , would soon retire .","Such a move has been widely predicted by industry observers and follows the departure of Christopher Galvin , the company 's chairman and chief executive .",1
42,select,"The Dow Jones industrials climbed more than 140 points to above the 9,000 mark , the first time since December .","The Dow Jones industrials briefly surpassed the 9,000 mark for the first time since December . """,1
43,select,"The songs are on offer for 99 cents each , or $ 9.99 for an album .",The company will offer songs for 99 cents and albums for $ 9.95 .,1
44,select,"Consolidated volume was heavy , with 2.17 billion shares traded , compared with 1.92 billion on Tuesday .","Consolidated volume was moderate , with 1.91 billion shares traded on the New York Stock Exchange , compared to 1.5 billion Monday .",0
45,select,Rebels sought to consolidate their grip on a troubled northeastern Congolese town Tuesday after a week of fighting that killed at least 112 people .,Rebels consolidated their grip on a troubled northeastern Congolese town Tuesday as residents identified at least 112 dead after a week of fighting .,1
46,select,The flamboyant entrepreneur flagged the plan after a meeting in London with Australian Tourism Minister Joe Hockey .,Sir Richard was speaking after a meeting in London with Australian Tourism Minister Joe Hockey .,1
47,select,Shellfire could be heard in the background as Ghafar spoke by satellite telephone .,"As he spoke by satellite phone , shellfire could be heard in the background .",1
48,select,The official would not name the leakers for the record and said he had no indication that Mr Bush knew about the calls .,The official would not name the leakers for the record and would not name the journalists .,0
49,select,Winners will be announced in a June 8 ceremony broadcast on CBS from Radio City Music Hall .,Tony winners will be announced June 8 in televised ceremonies from Radio City Music Hall .,1
50,select,"Bryant surrendered to authorities on Friday and posted a $ 25,000 bond .","Bryant presented himself to authorities last Friday and was released after posting $ 25,000 bail .",1
51,select,"They were being held Sunday in the Camden County Jail on $ 100,000 bail .","They remained in Camden County Jail on Sunday on $ 100,000 bail .",1
52,select,"Under the proposal , Slocan shareholders will get 1.3147 Canfor shares for each common share .","Under a proposed plan of arrangement , Slocan shareholders will receive 1.3147 Canfor shares for every Slocan share they own .",1
53,select,"At a news conference on Staten Island , U.S. Attorney Roslynn Mauskopf announced she would be taking over the probe from District Attorney William Murphy .","On Friday , U.S. Attorney Roslynn Mauskopf said she would take over the probe from District Attorney William Murphy .",1
54,select,"November 17 's last victim was British defence attache Stephen Saunders , who was shot on an Athens road in June 2000 .","November 17 's last victim was British defense attache Stephen Saunders , who was shot and killed at point-blank range on a busy Athens road in June 2000 .",1
55,select,The movie opens this weekend and the companion game has been on sale since late last month .,The movie opened over the weekend in the number one spot and the companion game has been on sale since late last month .,0
56,select,"Under the legislation , a physician who performs the procedure could face up to two years in prison .","Physicians who perform the procedure would face up to two years in prison , under the bill .",1
57,select,"At his request , he will be reassigned within the district .",District Superintendent J. Chester Floyd told reporters Monday that McCrackin will be reassigned within the district .,1
58,select,"Standing with reporters and photographers about 150 yards from the prison gates was Brent Newbury , president of the Rockland County Patrolmen 's Benevolent Association .",""" The whole thing is a travesty , "" fumed Brent Newbury , president of the Rockland County Patrolmen 's Benevolent Association .",0
59,select,Blair 's Foreign Secretary Jack Straw was to take his place on Monday to give a statement to parliament on the European Union .,Blair 's office said his Foreign Secretary Jack Straw would take his place on Monday to give a statement to parliament on the EU meeting the prime minister attended last week .,1
60,select,The Senate Armed Services Committee will hold a separate hearing Thursday .,It has not come to a vote yet in the Senate Armed Services Committee .,0
61,select,""" It should have reported that it was sailing with an atomic bomb cargo , "" Anomeritis said , referring to the quantity of explosives on board .",""" It should have declared that it was sailing with a cargo that was like an atomic bomb , "" said Anomeritis .",1
62,select,""" 30 years waiting for you , "" read one banner hoisted over the crowd , as many wept tears of happiness at finally seeing and hearing their idol .",""" 30 years waiting for you , "" read one banner hoisted over the crowd , as many concert-goers wept tears of happiness .",1
63,select,Dixon put his style on display Sunday afternoon in winning the Honda Indy 225 at Pikes Peak International Raceway .,Scott Dixon eventually made winning the Honda Indy 225 look easy Sunday at Pikes Peak International Raceway .,1
64,select,"Det Chief Insp Norman McKinlay said there was "" evidence a body or bodies have been in this area "" .","Detective Chief Inspector Norman McKinlay , leading the investigation , said : "" There is evidence a body or bodies have been in this area .",1
65,select,"The European Commission , the EU 's antitrust enforcer , is expected to issue its decision next spring — unless a settlement is reached .",The European Commission is expected to issue its decision in the case next spring — unless a settlement is reached .,1
66,select,"The report said the Corpus Christi-based agent twice called Escobar while the legislator was with the other protesting Democrats in Ardmore , Okla .","The report said the agent twice called state Rep. Juan Escobar while he was with the other protesting Democrats in Ardmore , Okla .",1
67,select,But he said he had Dr Hollingworth 's legal advice that he had been denied natural justice by the church inquiry .,Senator Brandis backed Dr Hollingworth 's claims he had been denied natural justice by the Anglican Church inquiry into the claims against him .,0
68,select,"BaFin and the head of the principal finance group , Robin Saunders , were not immediately available to comment .","BaFin , Germany 's chief financial regulator , and the prosecutor 's office were not immediately available for comment .",0
69,select,Prisoners were tortured and executed -- their ears and scalps severed for souvenirs .,"They frequently tortured and shot prisoners , severing ears and scalps for souvenirs .",1
70,plot,"Harris and Klebold killed 12 students and a teacher before taking their own lives on April 20 , 1999 .","Harris and Klebold killed 12 students , a teacher and themselves at the school .",1
71,plot,"Jordan Green , the prelate 's private lawyer , said he had no comment .","O 'Brien 's attorney , Jordan Green , declined to comment .",1
72,plot,"CIA Director George Tenet said the two men were "" defined by dedication and courage . """,""" [ They ] were defined by dedication and courage , "" said the CIA 's director George Tenet .",1
73,plot,Justice Anthony Kennedy dissented in an opinion joined by Chief Justice William Rehnquist and Justices Antonin Scalia and Clarence Thomas .,He was joined by Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas .,1
74,plot,"Blair has said there is not ' ' a shred of truth ' ' in allegations the government manipulated evidence , and has resisted calls for a full public inquiry .",Blair has said there is not ``a shred of truth ' ' in allegations that the government manipulated evidence about Iraq 's weapons programs .,0
75,plot,"At first blush , then , the distinction drawn by the creators of the do-not-call registry would seem to draw the line in precisely the right place .","At first blush , then , the creators of the registry would seem to have drawn the line between exempted and banned calls in the right place .",1
76,plot,"Shares closed on NASDAQ just below their 52-week high , at $ 32.17 , up $ 1.54 .","Trading of EchoStar 's stock closed Tuesday at a 52-week high of $ 32.17 , up $ 1.54 .",0
77,plot,"EU ministers were invited to the conference but canceled because the union is closing talks on agricultural reform , said Gerry Kiely , a EU agriculture representative in Washington .","Gerry Kiely , a EU agriculture representative in Washington , said EU ministers were invited but canceled because the union is closing talks on agricultural reform .",1
78,plot,"Under Kansas law , it is illegal for children under the age of 16 to have sexual relations .","In the opinion , Kline noted that it is illegal for children that young to have sexual relations .",1
79,plot,"Dennehy , 21 , hasn 't been heard from in more than two weeks , and police suspect he was killed in the Waco area .","Authorities and Baylor officials say Dennehy , 21 , hasn 't been heard from in more than two weeks .",0
80,plot,"SSE shares were little changed , up 0.3 percent at 654 pence by 1018 GMT , but analysts welcomed the move .",SSE shares were unchanged at 652 pence by 0835 GMT but analysts welcomed the deal .,1
81,plot,"Spot gold was quoted at $ 367.90 / 368.60 an ounce at 1000 GMT , having marched up to $ 369.50 -- a level not seen since February 10 .","Spot gold was quoted at $ 358.65 / 359.15 an ounce at 0500 GMT , having darted as high as $ 359.25 -- a level not seen since February 25 .",0
82,plot,July Brent rose 31 cents to $ 28.39 per barrel on London 's International Petroleum Exchange .,Brent crude for July delivery fell 38 cents to $ 27.45 a barrel on London 's International Petroleum Exchange .,1
83,plot,The U.S. Supreme Court will hear arguments on Wednesday on whether companies can be sued under the Americans with Disabilities Act for refusing to rehire rehabilitated drug users .,The high court will hear arguments today on whether companies can be sued under the ADA for refusing to rehire rehabilitated drug users .,1
84,plot,"Axelrod died in his sleep of heart failure , said his daughter , Nina Axelrod .","Axelrod died of heart failure while asleep at his Los Angeles home , said his daughter , Nina Axelrod .",1
85,plot,Mr. Kozlowski contends that the event included business and that some of those attending were Tyco employees .,Mr. Kozlowski contends that the event was in large part a business function .,1
86,plot,"Not only is this the oldest known planet , it 's also the most distant .",Astronomers have found the oldest and most distant planet known in the universe .,1
87,plot,"The epidemic began in November in the mainland 's Guangdong province , but the People 's Republic of China refused to report truthfully about its spread for four months .","The PRC epidemic began in Guandong province in November , but the Communist Party government refused to report truthfully about its spread for four months .",1
88,plot,"With 2.3 million members nationwide , the Episcopal Church is the U.S. branch of the 77 million-member global Anglican Communion .","The Episcopal Church , with 2.3 million members , is the U.S. branch of the 77 million-member Communion .",1
89,plot,""" I started crying and yelling at him , ' What do you mean , what are you saying , why did you lie to me ? ' ""","Gulping for air , I started crying and yelling at him , ' What do you mean ?",0
90,plot,""" The releases are the latest in a series of efforts by the government to move Myanmar to multi-party democracy and national conciliation . """,""" The releases are the latest in a series of efforts by the government to move Myanmar closer to multiparty democracy and national reconciliation , "" a government statement said .",1
91,plot,"Several relatives of Australian victims of the attack were in court to witness the proceedings , but few Balinese attended the trial .","Several relatives of Australian victims of the attack sat in the front row of the court , but few Balinese attended the trial .",1
92,plot,"A spokesman said : "" Further testing is under way but at this stage , given the early detection , the outlook is positive . """,""" Further testing is still under way , but at this stage , given the early detection , the outlook in such instances would be positive , "" the specialist said yesterday .",1
93,plot,Sales of downloaded singles and albums will be included in Billboard 's charts for those configurations .,"Digital download sales of recorded albums and singles will be included in the album and singles sales charts , respectively .",1
94,plot,"At 8 a.m. Friday , San Joaquin County Sheriff 's deputies found the body of Adan Avalos , 37 .",San Joaquin County sheriff 's deputies found 37-year-old Adan Avalos of Riverbank shot to death inside the SUV .,0
95,plot,The face of President Saddam Hussein was added to Iraqi currency after the 1991 Gulf War .,Saddam 's portrait was added to Iraq 's currency after the Gulf War .,1
96,plot,The men were remanded in custody and are due to appear again before court on July 8 .,They were remanded in custody and will appear in court again on July 8 .,1
97,plot,But he added group performance would improve in the second half of the year and beyond .,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,1
98,plot,"Peterson told police he fished alone in San Francisco Bay on Christmas Eve , returning to an empty house .",Peterson told police he left his wife at about 9 : 30 a.m. on Dec. 24 to fish alone in San Francisco Bay .,0
99,plot,The acquisition has been approved by both companies ' board of directors and is expected to close in the third quarter this year .,"Nvidia 's acquisition has been approved by directors at both companies , and is expected to close in the Nvidia 's third quarter of fiscal 2004 .",1
