idx,usage,sentence,ground_truth_label
140,select,the second coming of harry potter is a film far superior to its predecessor . ,1
141,select,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",1
142,select,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ",1
143,select,funny but perilously slight . ,1
144,select,filmmakers who can deftly change moods are treasures and even marvels . ,1
145,select,"may be more genial than ingenious , but it gets the job done . ",1
146,select,"feature debuter d.j. caruso directs a crack ensemble cast , bringing screenwriter tony gayton 's narcotics noir to life . ",1
147,select,a technically superb film ,1
148,select,is effective if you stick with it ,1
149,select,has a lot of the virtues of eastwood at his best . ,1
150,select,"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality . ",1
151,select,a passable date film ,1
152,select,that underscore the importance of family tradition and familial community ,1
153,select,the movie does a good job of laying out some of the major issues that we encounter as we journey through life . ,1
154,select,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,1
155,select,are an absolute joy ,1
156,select,"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ",1
157,select,"harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness . ",1
158,select,"unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners . ",1
159,select,light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection . ,1
160,select,"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ",1
161,select,if your taste runs to ` difficult ' films you absolutely ca n't miss it . ,1
162,select,a beautifully ,1
163,select,"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",1
164,select,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn . ,1
165,select,the magic of the film lies not in the mysterious spring but in the richness of its performances . ,1
166,select,luminous interviews and amazingly evocative film from three decades ago ,1
167,select,a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love . ,1
168,select,showing honest emotions ,1
169,select,"it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself . ",1
170,select,"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . ",1
171,select,"a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear . ",1
172,select,"and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins . ",1
173,select,"a quiet , pure , elliptical film ",1
174,select,and in the best way ,1
175,select,"it 's about following your dreams , no matter what your parents think . ",1
176,select,men ,1
177,select,"the film is quiet , threatening and unforgettable . ",1
178,select,it 's fun lite . ,1
179,select,can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,1
180,select,"exhilarating , funny and fun . ",1
181,select,for the most part stevens glides through on some solid performances and witty dialogue . ,1
182,select,"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ",1
183,select,"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand . ",1
184,select,the most purely enjoyable and satisfying evenings ,1
185,select,squareness that would make it the darling of many a kids-and-family-oriented cable channel ,1
186,select,one from the heart . ,1
187,select,an unorthodox little film noir organized crime story that includes one of the strangest ,1
188,select,it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,1
189,select,one of the more intelligent children 's movies to hit theaters this year . ,1
190,select,in memory ,1
191,select,trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son . ,1
192,select,"... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume . ",1
193,select,there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,1
194,select,"charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time . ",1
195,select,dover kosashvili 's outstanding feature debut so potent ,1
196,select,"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books . ",1
197,select,"looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . ' ",1
198,select,the characters are interesting and often very creatively constructed from figure to backstory . ,1
199,select,"a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana . ",1
200,select,in world cinema ,1
201,plot,does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,1
202,plot,"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",1
203,plot,( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . ,1
204,plot,respectable new one ,1
205,plot,"( næs ) directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage . ",1
206,plot,this film special ,1
207,plot,for a story ,1
208,plot,"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ",1
209,plot,"but taken as a stylish and energetic one-shot , the queen of the damned can not be said to suck . ",1
210,plot,"if it is n't entirely persuasive , it does give exposure to some talented performers ",1
211,plot,", compelling ",1
212,plot,"another one of those estrogen overdose movies like `` divine secrets of the ya ya sisterhood , '' except that the writing , acting and character development are a lot better . ",1
213,plot,the cast is spot on and ,1
214,plot,true tale of courage -- and complicity -- at auschwitz is a harrowing drama that tries to tell of the unspeakable . ,1
215,plot,spiffy animated feature ,1
216,plot,the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy . ,1
217,plot,", sometimes beautiful adaptation ",1
218,plot,the positive change in tone here seems to have recharged him . ,1
219,plot,funny yet ,1
220,plot,"fun , flip and terribly hip bit of cinematic entertainment . ",1
221,plot,"... a story we have n't seen on the big screen before , and it 's a story that we as americans , and human beings , should know . ",1
222,plot,a delightful coming-of-age story . ,1
223,plot,director andrew niccol ... demonstrates a wry understanding of the quirks of fame . ,1
224,plot,i just loved every minute of this film . ,1
225,plot,the film 's performances are thrilling . ,1
226,plot,at its best moments ,1
227,plot,jones ... does offer a brutal form of charisma . ,1
228,plot,pays earnest homage to turntablists ,1
229,plot,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1
230,plot,seem fresh ,1
