idx,usage,english,french,ground_truth_label
28,select,"It is clear that we must redefine the role of Europe in the world economy, creating a competitive Europe, opening the way to new and better jobs and organising this process with an appropriate strategy for social cohesion.","Si la Commission Delors nous a conduit de l'Acte unique au Traité sur l'Union et à un vaste élargissement de la Communauté européenne, j'espère que la Commission Prodi sera la Commission de l'Europe sociale, la Commission qui veillera à ce que le développement économique ne s'accompagne pas de discriminations sociales mais de progrès social.",0
29,select,Obviously we all have different approaches which is demonstrated by our debate and the motions for a resolution tabled at the beginning.,"Face à cette mondialisation néolibérale, sous la domination des marchés financiers, l'exigence, dont notre demande témoigne, grandit, d'une autre idée du monde selon laquelle la loi commune serait celle que dicte le devoir de solidarité dans un monde de plus en plus interdépendant.",1
30,select,"We must therefore welcome the fact that the Helsinki European Council put an end to the speculation and stated in its conclusions, and I quote, that ""If no settlement has been reached by the completion of accession negotiations, the Council' s decision on accession will be made without the above being a precondition"" .","De ce point de vue, l' autre décision d' Helsinki, à savoir la reconnaissance de la candidature de la Turquie à l' Union, confère aux Quinze une responsabilité nouvelle en même temps qu' elle lui offre des possibilités nouvelles. Son dialogue avec Ankara peut et doit, à mes yeux, intégrer la volonté déterminée d' obtenir de la Turquie qu' elle montre vis-à-vis du dialogue entre les deux communautés chypriotes une attitude constructive, respectueuse de la légalité internationale et permettant d' aboutir à une Chypre réunifiée et à la paix en Méditerranée orientale.",1
31,select,Duff/Voggenhuber report (A5-0064/2000),"La plupart d'entre eux traduisent de fait des différences politiques entre nous sur l'opportunité et sur l'efficacité des aides d'État, compte tenu des insuffisances, reconnues ou non, des seuls investissements privés, market failures ou insuffisances du marché.",0
32,select,- This report calls for drastic cuts in the level of illegal state aid dished out by some Member States.,"À mes yeux, les aides État illicites ne constituent rien de plus qu'un dumping social soutenu par l'État.",1
33,select,This claim that your report makes must be seen in the context of last spring' s negotiations.,"La Commission s' est tenue au texte même de l' article 10 du règlement général des Fonds structurels, qui prévoit que ces orientations ont pour ambition de fournir aux États membres des orientations indicatives générales, fondées sur les politiques communautaires pertinentes et convenues.",1
34,select,I hope my proposal will be taken into consideration in tomorrow' s vote.,J' espère que ma proposition sera prise en considération lors du vote de demain.,1
35,select,"This was in contrast to the majority opinion held in the Committee on Regional Policy, Transport and Tourism.","Proposition de résolution (B5-0142/2000) déposée par les députés Hautala, Lannoye et Maes, au nom du groupe Verts/ALE, sur les objectifs stratégiques 2000-2005",0
36,select,"Recently, the immunity of a former Commissioner was lifted and proceedings are currently pending before a judge in Brussels on the basis that Brussels is the seat of the Community institutions.","Madame la Présidente, je voudrais conclure en disant que pour ce qui est de la résolution dont j'ai vu un projet, la Commission attend le vote et déterminera sa position en fonction du résultat de celui-ci.",0
37,select,Mr Rapkay' s report also emphasises the importance of the international dimension with regard to competition law.,"À mon avis, il serait bon de dégager au niveau international un consensus sur certains principes fondamentaux de la concurrence.",1
38,select,Resumption of the session,"À la suite de la demande qui m' a été adressée en ce sens par plusieurs groupes politiques et à la suite de la réunion de la Conférence des présidents que nous venons d' avoir, je vous propose d' inscrire un débat d' une heure et demi sur un problème d' actualité, urgent et d' importance majeure, conformément à l' article 50 de notre règlement, portant sur la réaction de l' Union à l' égard des négociations de gouvernement en Autriche.",1
39,select,"As far as the second proposal is concerned, the ideas of Amendments Nos 24, 25, 29, 30, 41 and some parts of 27, which contain sensible suggestions, can be adopted, again formulated appropriately.",La Commission doit maintenant nous présenter un programme de réformes plus ambitieuses et plus fondamentales.,0
40,select,But we also recognise that some of the practices are outdated.,"M. Cashman a dit, et il a raison en un sens, que les mots ne remplacent pas l'action réelle.",0
41,select,"Mr President, at the beginning of his first intervention, Mr Haarder said that Europe did not invent human rights, and that is true.","À la lumière des changements survenus dans la composition de la commission ""Droits de l'homme"", on estime que le vote sur la motion de non interférence sera serré.",0
42,select,We are badly behind now in this matter.,Nous sommes maintenant très en retard.,1
43,select,They are given out to create jobs and to kick-start the regions.,Voilà de quoi il s'agit.,1
44,select,"Whatever system is adopted, ultimately the cost will be passed on to the consumer.","En demandant aux consommateurs d' assurer la moitié du coût de la reprise des véhicules hors d' usage, comme le stipule l' amendement 38, alors que la position commune demande que la totalité de la reprise soit à la charge du producteur, pour la première fois, le Parlement ne se présenterait pas comme le garant de la défense des consommateurs et des citoyens européens, il deviendrait en quelque sorte une caisse de résonance des lobbies.",1
45,select,"We oppose Amendment No 15, concerning the creation of an environmental monitoring union, as this is in our opinion a question of internal Commission organisation which should not be addressed through a regulation.","Dans ce domaine précis, les contributions de la Commission et du Conseil ne doivent pas être réduites car cela irait plutôt à l'encontre du but recherché.",1
46,select,"I hope that the European Commission too, will protest in the strongest terms to the Russian authorities.","Comme Monsieur Bonde le soulignait à juste titre, dans l'Union européenne le flux des informations doit passer librement des institutions à l'ensemble des citoyens.",1
47,select,"We want none of your compromise chocolate, we are too familiar already with the Federalist recipe.",Cela me semble inacceptable.,1
48,select,Firstly he talked about verification.,". (SV) La Commission est d'accord avec M. le député pour penser que le traitement dont font l'objet, à l'heure actuelle, dans l'Union européenne, les déchets électriques et électroniques, provoque des problèmes environnementaux importants.",1
49,select,"While in theory this may meet the need for concentration and therefore the efficiency of interventions, we cannot help wondering whether the current situation of the Objective 1 zones allows, in practice, a policy of integrated interventions, for which an operational instrument to coordinate the appropriations is necessary.","On n'a pas estimé correctement l'importance de l'instrument de la subvention globale qui pourrait s'avérer fort utile au rééquilibre entre les zones urbaines et rurales en conférant, en outre, la dignité qui s'impose aux organismes locaux qui, par leur autonomie, pourraient définir des conditions de développement territorial comprenant des délais plus courts, contribuant ainsi aux efforts de réforme des fonds structurels et aux objectifs d'efficacité, de concentration et d'assouplissement administratif.",1
50,select,"Mr President, Commissioner, in the capacity of rapporteur for the directive on port reception facilities, one of whose objectives is the prevention of marine pollution, I would like to make a few observations which occurred to me on matters which, to my mind, were not sufficiently dealt with at the Green Shipping Conference in Hamburg which everyone attended.","B5-0280/2000, du député Salafranca Sánchez-Neyra, au nom du groupe PPE-DE ;",0
51,select,This latter point is of particular importance.,Ce point est d'une extrême importance.,1
52,select,"Where we do, too little of it is converted into market product and services.","Possible si l'on s'attaque aux causes véritables, qui sont pour nous indissociables de la dérive néolibérale dont sont empreintes les orientations fondamentales, notamment dans le domaine macro-économique, et qui sont attestées par la priorité accordée au pacte de stabilité et aux critères de convergence nominale et, partant, par le fait de reléguer la cohésion sociale à l'arrière-plan, celle-ci s'accompagnant généralement d'une déréglementation complète du travail, de l'encouragement des privatisations, fusions et délocalisations, habituellement génératrices de chômage, mais aussi d'une politique budgétaire profondément restrictive sur les plans communautaire et national.",1
53,select,So do you have a feeling about how these discussions may develop in the IGC?,"On voit bien à travers ces sujets qui touchent au marché intérieur - sécurité sociale ou fiscalité - et à son bon fonctionnement qu' il y aurait là un lieu légitime d' expression, de prise de position du Parlement européen.",0
54,select,"Mr President, Commissioner, we are debating a directive which is extremely - I repeat extremely - rigorous.",Cela signifie que nous voulons disposer d'un système efficace.,1
55,select,Question No 113 by (H-0251/00):,"L'Union européenne me semble enfin sortie de la vieille logique paternaliste, et pour tout dire, néocolonialiste, des bailleurs de fonds qui se transforment volontiers en donneurs de leçons, selon une formule chère à notre ami Michel Rocard.",0
56,select,New types of funds have been introduced in the various Member States which are not permitted to market their units in other Member States.,.,1
57,select,What of course characterises the present draft framework decision is the fact that the Member States' obligations are laid down in detail. There is no freedom of choice regarding methods and implementation.,On a fait observer que cette décision-cadre relève précisément du droit pénal.,1
58,select,"Experience has shown that the old monopolies cannot provide the type of efficient service which, as customers, we are all entitled to expect.","Monsieur le Président, nous sommes favorables à la libéralisation des services postaux dans l'Union européenne.",1
59,select,"In the middle of an election campaign, a series of authorities, all of them run by the party in government, made clearly electioneering speeches which, furthermore, were broadcast live on television.","Objet : Monopole de l'alcool et marché intérieur Quelles mesures la Commission compte-t-elle prendre pour empêcher que la Suède ne maintienne, comme elle en a manifestement l' intention, son monopole d' état de l' alcool et partant, les restrictions à l' importation correspondantes, de manière à faire prévaloir ainsi les règles du marché intérieur ?",1
60,select,"In 1999, the Commission also presented its contribution towards a European action plan to combat drugs, which underpins the strategy approved by the Helsinki European Council.","Si le Parlement soutient ces modifications du rapport aujourd'hui, celles-ci nous feront, je pense, passer à la phase suivante de la poursuite des objectifs historiques pour lesquels ces fonds ont été créés, à savoir l'aide ­ qui doit être financièrement soutenable ­ aux régions démunies de l'Union européenne, qu'il nous faut porter à un niveau de vie décent, non pas en leur donnant l'aumône mais en les stimulant.",0
61,select,We are also envisaging the establishment of a European food authority by 2002 as an essential complement to the new food safety regime.,La Commission estime qu'il est nécessaire d'opérer des changements structurels majeurs dans notre système de sécurité alimentaire pour faire en sorte que soit réalisé le double objectif consistant à garantir les normes les plus élevées en matière de sécurité alimentaire et à restaurer la confiance des consommateurs.,1
62,select,An appropriate statute and the right of movement and settlement for residents of non-EU countries is something which the Spanish People' s Party has been advocating for some time.,Rapport McCarthy (A5-0026/2000),1
63,select,"In conclusion, while welcoming Commission approval for LEADER+, I am concerned about the time delay between the ending of LEADER II and the commencement of the new programme.","EQUAL est un programme très difficile car il tente de regrouper nombre d'anciens programmes, tout en ayant un regard neuf et en étant moins bien doté que les fonds précédents.",1
64,select,Stenzel report (A5-0034/2000),Ce qui s'est passé à El Ejido relève de pratiques racistes et xénophobes inadmissibles dans l'Europe d'aujourd'hui.,0
65,select,Question No 5 by (H-0785/99):,"Par conséquent, il est également indiqué de mettre l'ensemble des initiatives européennes au banc d'essai de l'Europe électronique, c'est-à-dire concrètement ...",0
66,select,"Madam President, my habit is always to be here for the opening of the part-session on Monday afternoons at 5.00 p.m.","Tout à fait, Monsieur Napolitano, je vous remercie.",1
67,select,What decisions have been taken to balance the financial cost of agreements with the North and South?,N'est-ce pas toutefois la tâche préalable de la Commission européenne d'inciter les deux États membres concernés à appliquer la politique de report modal vers le rail et de les convaincre de trouver un accord pour la réouverture de cette ligne ?,1
68,select,There should be greater involvement of the private sector which will introduce financial reality as a perspective within the funding equation.,"Il faudrait davantage impliquer le secteur privé, qui introduira la perspective de la réalité financière dans l'équation de financement.",1
69,select,"It is crucial for us that it should be possible for this Intergovernmental Conference to be concluded before the end of the year 2000 so that there are no remaining formalities, such as the weighting of votes in the Council of Ministers and the composition of the Commission and the European Parliament, which place obstacles in the way of the enlargement of the EU.",". Avec l'ouverture de la prochaine CIG, le processus de l'Union européenne est à nouveau d'actualité.",1
70,select,We just need a bit more time to work out the details on the asylum question and I would therefore request that the vote be postponed from this morning.,"En effet, cette initiative a fait l'objet d'une discussion assez animée au sein de la commission et, puisqu'il s'agit d'une proposition importante de la Commission qui se rapporte aux accords arrêtés l'année dernière, je pense qu'elle est acceptable.",1
71,select,"Women, who constitute more than half of the population, are heavily under-represented within political, economic and social fields.","Au delà de l' équité entre les sexes, il y a donc des raisons sérieuses qui plaident en faveur d' une répartition juste et équilibrée des charges publiques et du pouvoir politique et économique entre hommes et femmes.",1
72,select,In the future it will be possible to have programmes not only in the individual zones eligible for structural aid but in all the regions of the EU.,"De cette manière, Leader+ et les autres programmes du règlement 1257/99 peuvent davantage mettre en relief le deuxième pilier de la PAC et exercer l' influence la plus bénéfique possible sur l' ensemble de l' espace rural.",1
73,select,"Madam President, I did not want to disturb you a minute ago during the vote.",Rapport Brok (A5-0029/2000),1
74,select,"There is a genuine need for this, given the suspicion with which our fellow citizens approach these new tools.","La question est donc de savoir si, au vu de ces développements révolutionnaires, de nouvelles structures en matière de cogestion des employés et en matière de consultation et d'aménagement ne sont pas nécessaires.",1
75,select,"I also regret the fact that we had an extremely short period to work in, as the text was examined in parliamentary committee on 24 November last year and then on 26 January. I further regret the fact that neither the regions, nor the representative regional organisations were involved in framing the programme.","C' est la raison pour laquelle nous proposons, depuis le Parlement européen, l' adoption de mesures urgentes qui s' attaquent à tous les facteurs impliqués et qui soient d' application immédiate : le respect des droits de l' homme, de la tolérance et du multiculturalisme, l' augmentation des budgets et des lignes d'actions en matière sociale et sanitaire.",0
76,select,"We already plan to reform the existing disciplinary procedures to ensure thoroughness, fairness, consistency and professionalism.",Un rôle important que la commission devra jouer sera de donner des conseils en matière d'éthique et de normes et de superviser les codes de conduites communs et particuliers des institutions.,1
77,select,"This is a very important social debate in the creation of a European area in which the right to freedom, security and justice will be recognised in the future Charter of Fundamental Rights.",Agirez-vous en vue d'une politique commune concernant le droit d'asile et l'immigration ?,0
78,select,"It is not very easy in coastal areas anywhere in the Union to defend the European Union in the whole area of fisheries, but I have been defending them on the grounds that decisions are made on properly based scientific knowledge.","Concernant la seconde partie de cet amendement, il est important de dénombrer et d' identifier beaucoup mieux les pertes d' emploi dans le secteur.",0
79,select,"Finally, the amendment tabled by the rapporteur is perfectly logical and I can, therefore, give it my wholehearted support.","Pour conclure, l'amendement proposé par le rapporteur est on ne peut plus logique et je le soutiens avec joie.",1
80,select,"However, I would now like to look at the areas of difference between Parliament's Committee on the Environment and the Council.",Un refus de modifier la directive serait un mauvais signal lancé à l'industrie européenne ainsi qu'à la population européenne.,1
81,select,"Lastly then, Europol, which started its work in 1999. The Council approved a set of instruments, with which Parliament is familiar, to make Europol' s operations viable but, of course, the fundamental issues of democratic control and judicial control of Europol still remain, and these are issues which have naturally taken on a new dimension in view of the political decision taken in Tampere to reinforce Europol' s powers and, above all, to give it an operational dimension.","Ensuite, je voudrais remercier Mme Anna Terrón d'avoir posé la question qui donne lieu au premier débat annuel de cette législature sur la création d'un espace de Liberté, Sécurité et Justice ; je voudrais remercier aussi tous les députés qui ont participé activement, au sein des différentes commissions, à la préparation de ce débat annuel, ainsi que les représentants des parlements nationaux et de la société civile.",1
82,select,"There are also courts in Karlsruhe, London, Lisbon, Dublin and Edinburgh.",(Applaudissements prolongés),1
83,select,"However, today' s debate has revealed that it does have shortcomings, such as the failure to make an adequate connection between economic liberalisation and the guarantee of the respect of human and democratic rights, the rights of trade unions and rights in the area of child employment. The report also contains an alarming derogating clause regarding the origin of products, which will obviously penalise European produce, in particular in the textiles, clothing and footwear industries.","Monsieur le Président, Monsieur le Commissaire Liikanen, Mesdames et Messieurs les Députés, sur le fond, l'initiative e-Europe de la Commission Européenne doit en principe être vivement saluée.",1
84,select,There is no room for amendments.,Les modifications n'ont pas lieu d'être.,1
85,select,The conclusions of the Theato report safeguard them perfectly.,"Monsieur le Président, comme l'a dit Mme Theato, c'est un rapport critique.",1
86,select,"Throughout the negotiations, they were of great help and it must be said that the difficult and occasionally tiresome negotiations were nonetheless completed in record time.",Résolution Jackson (B5-0227/2000),0
87,select,Question No 9 by (H-0169/00):,Les questions no 10 à 38 recevront une réponse écrite.,1
88,select,"And here the High Representative for the CFSP, Mr Solana, ought to play a more active role in achieving adequate guarantees for the Sahrawi people through an active presence and direct participation in the stages of the peace process and the referendum.","Simultanément, le peuple sahraoui se trouve aujourd' hui dans des conditions précaires ; c' est même la survie physique des habitants qui est menacée.",1
89,select,"After shellfish, the slump is now affecting crustacean sales.","Dans ces conditions, à l'instar de l'ensemble des membres du groupe Verts/ALE, j'ai voté contre la proposition de modification de la directive 1, et je me suis abstenue à propos de la proposition de modification de la directive 2.",0
90,select,VOTE,"C' est certainement trop court, trop limité et trop peu.",0
91,select,"Now what is going to happen if we retain a ceiling of 700, bring in 26% more population over time, and then adopt the Commission' s, I think ill-considered, proposition, that there should be a European list of candidates.","Tel est le débat et c'est vers cela que tendra toute discussion portant sur la conférence intergouvernementale, son ordre du jour et sa méthode.",1
92,select,") Mr President, I believe we totally agree with Mrs Attwooll' s statement at the beginning of her excellent report that these two Commission proposals, intended to shed more light on the scientific and socio-economic situation of the fisheries sector, come at a critical time.","Comme on l'a aussi déjà souligné ici, beaucoup de ces données revêtent également un caractère confidentiel car elles concernent la compétitivité même des secteurs impliqués et de leurs entreprises.",1
93,select,"This House therefore proposes the adoption of urgent measures encompassing all the relevant factors and to be applied immediately. We must ensure respect for human rights, tolerance and multiculturalism and we must obtain an increase in budgets and action lines for social and health issues.","En recevant, hier, une délégation de l'association de défense des droits de l'homme autrichienne, mais aussi en observant ce qui s'est passé dans la province d'Almería, on comprend aisément qu'on pouvait prévenir la résurgence de ces haines racistes.",1
94,select,"The report comes just after agreement has been reached on the renewal of the existing Lomé Convention, which expires at the end of this month.",D' autant plus que la fragile architecture de cette construction ambitieuse a été menacée.,1
95,select,"After almost forty years of being in force, these rules were beginning to show signs of exhaustion. For this reason, modernisation was essential.","Une modernisation s'imposait, dès lors, de toute urgence et s'avérait particulièrement nécessaire sur cinq points : le régime d'autorisation, l'application décentralisée, les règles de procédure, l'application judiciaire et le formalisme excessif.",1
96,select,"In consequence, I seek some small adjustments to the guidelines to provide a little more flexibility and to accommodate the ways in which the interests of maritime areas can fall between strand A and strand B. These adjustments include clarifying the possibilities for cooperation between maritime areas and permitting greater development of practical and visible projects, particularly those of an infrastructural kind.",". (EL) Monsieur le Président, je me réjouis de voir que le programme URBAN s' oriente vers une approche plus intégrée et essaie de résoudre des problèmes qui sont liés les uns aux autres.",1
97,select,"It is extraordinary what decisions we took in Sintra concerning 2004, 2005, 2006.","De cette connivence pour ainsi dire structurelle vous êtes vous-même d'ailleurs, Monsieur Solana, en votre personne, une parfaite illustration, passant sans rupture de l'OTAN à la PESC comme si c'était la même chose, mais à la vérité, c'est la même chose.",1
98,select,"The measures taken from time to time in the past have been fragmentary and therefore ineffective, and such provisions as have been made were dictated by parallel policies such as consumer protection, environmental policy, transport policy, taxation policy, etc., which very often are not only no help to tourism but on the contrary make it more difficult, since their introduction has usually entailed costs for the tourism industry without regard to its ability to bear them or its incentives to cope with them.","En d' autres termes, est-il possible que la Commission présente de nouvelles initiatives afin de voir si ­ un peu comme la goutte d' eau qui érode la roche ­, grâce aux efforts continus de la Commission et du Parlement, nous pouvons convaincre le Conseil qu' il faut faire quelque chose dans ce domaine ?",1
99,select,"We are all Austrians because the European Union is a single entity in terms of rights and citizenship, and I would like to have the same rights in Austria that Austrian citizens should have in my country.","Merci, Monsieur le Commissaire Patten.",0
100,select,I would therefore once more ask you to ensure that we get a Dutch channel as well.,Je vous demande donc à nouveau de faire le nécessaire pour que nous puissions disposer d'une chaîne néerlandaise.,1
101,select,My country' s place is not outside the European Union but in it ...,"(Applaudissements, protestations)",1
102,select,"In fact, shortly after the Maastricht Treaty was ratified, you spoke in favour of strengthening European values, creating a European ethical dimension and opening the Union to the countries of central and eastern Europe.","Merci, Monsieur le Président.",1
103,select,That is why I want to highlight some of the issues that I believe the Commission must have at the forefront.,"C'est pourquoi je voudrais souligner certains points que la Commission devrait, d'après moi, placer au premier plan.",1
104,select,"Firstly, there is the concern that some have expressed, in particular Mrs Randzio-Plath, President of the Committee on Economic Affairs, of whether this new system of legal exception is absolutely compatible with the Treaty.",Je partage leur inquiétude et pense que nous devons examiner cet aspect.,1
105,select,"The proposal of the ATT 3 project, which is well known to the Commission, deviates from the route established in the guidelines of the Trans-European Network.","En première lecture, nous avions encore exigé une expiration progressive des labels nationaux au profit du label écologique. Notre changement d' opinion n' est pas dénué de fondement.",1
106,select,"As with many other provisions of the Treaty, Articles 81(1) and 82 have, after all, been applied for decades by national authorities and judges, and I do not feel that this has created serious problems.","Madame la Vice-présidente de la Commission, je voudrais savoir, s'il est vrai qu'un État membre pose des problèmes, de quel État il s'agit et le type de problèmes qu'il pose.",0
107,select,The Union' s economic and social policy is just as much to blame for that as its regional policy.,Tout cela est à imputer tant à la politique régionale qu'à la politique économique et sociale plus générale de l'Union.,1
108,select,I can also assure Parliament that all observations made here today will be fully taken into account.,M. Kindermann et Mme Auroi ont soulevé cette question.,1
109,select,"Rather than concentrating on protecting minorities, we should be building the concept of European citizenship involving common values. We should be concentrating on building a common future for everyone and a society in which everyone can develop and which totally rejects any hint of submission to barbarism.",(Applaudissements à droite),1
110,select,.,Le second amendement vise à réduire à deux ans la période d'application des mesures transitoires.,0
111,select,"At this time when we are voting on a joint resolution against the inclusion of neo-Nazis in the government of a European Union Member State, I must express my regrets regarding a compromise text which is particularly lacking in backbone.",C' est typiquement le genre de politique dont les citoyens disent : mais que fait donc Bruxelles ?,0
112,select,It is not a lot to ask.,Ce n' est pas demander beaucoup.,1
113,select,"But we also say: we want to defend this European Community of tolerance, which is why a common foreign, security and defence policy is so important.",C' est bien ce à quoi nous voulons tous contribuer.,0
114,select,"In other words, accession should not be held hostage to a political solution.","La solution du problème chypriote ne saurait être un préalable à l' adhésion de Chypre à l' Union, comme l' a rappelé M. Poos.",1
115,select,". (DA) We oppose, on principle, the European Community' s entering into treaties on copyright law on behalf of the Member States.",C' est en contradiction avec les valeurs européennes et certainement avec les valeurs parlementaires dont il est si souvent question dans cette Assemblée.,1
116,select,And where does the right to life come in?,"Monsieur le Président, pourquoi les droits de l'homme restent-ils tellement à la traîne par rapport aux progrès de l'humanité ?",1
117,select,"Mr President, the Group of the Greens/European Free Alliance believes that the European Parliament' s decision to rush headlong into giving its opinion on the Intergovernmental Conference undermines the political significance of the request for talks with the Council, and in the end, makes it rather irrelevant.",C'est pourquoi notre groupe est favorable à la Conférence intergouvernementale.,1
118,select,We propose a procedure like the Luxembourg process.,Je pense que c'est une bonne proposition.,1
119,select,"Report (A5-0064/2000) by Mr Duff and Mr Voggenhuber, on behalf of the Committee on Constitutional Affairs, on the drafting of a European Union Charter of Fundamental Rights (C5-0058/1999 - 1999/2064(COS))","La Commission réitère, une fois de plus, l'idée qu'il est souhaitable que la Charte englobe à la fois les droits civils et politiques comme des droits sociaux et découlant de la citoyenneté européenne, des droits octroyés sur la base de la Convention européenne des droits de l'homme.",0
120,select,It is therefore also being requested that ISO 9002 certificates possibly include the finer details of these activities in the form of annual reports and company analyses.,"Pour cette raison, on demande que ces activités soient développées sous la forme de rapports annuels, d'analyses d'entreprises et qu'elles soient éventuellement reprises dans des certificats ISO 9002.",1
121,select,We want the ECB to be able to pursue its main objective of safeguarding price stability in total independence - including material independence.,"Cela a été demandé à l' occasion du traité de Maastricht, cela a été demandé à l' occasion du traité d' Amsterdam.",0
