pair_id,pred_set,english,french,ground_truth_label,avg_top5_invalid_translation_features
Y13,predicted_yes,(The sitting was closed at 12.25 p.m.),"B5-0159/2000 des députés Gasòliba i Böhm et Sánchez García, au nom du groupe du parti européen des libéraux démocrates et réformateurs, sur les incidents racistes et xénophobes à El Ejido (Espagne) ;",0,100.336853
Y14,predicted_yes,Does section 11(1) conceivably authorise the following practice.,"Par exemple, comment combiner les tentatives visant à briser l' isolement social et la discrimination quasi généralisée des Roms avec la préservation de l' identité Rom ?",0,185.368195
Y15,predicted_yes,"We do need to obtain, from the Commission and the Council, in other words from each of the governments forming the Union, a clear, positive or negative, political stance. They must indicate whether they are ready to defend, within competent public bodies such as the International Monetary Fund in the first instance, the appropriateness of such a tax within the other instruments needed to stabilise the international monetary system.",Produits de cacao et de chocolat (suite),0,157.531097
Y16,predicted_yes,McCarthy report (A5-0026/2000),"Madame la Présidente, on a beaucoup parlé, ces derniers temps, de l'élargissement de l'Union européenne.",0,138.945465
Y17,predicted_yes,"That is the same as a single, medium-sized, German opera house' s expenditure over the same period, when here in Europe this sum has been earmarked for 29 countries over a period of five years!","Madame la Présidente, celui qui a l'honneur, comme moi, de présider la commission de la culture ne peut que partager les remarques des divers collègues et féliciter le rapporteur, la commissaire, Mme Reding, avec qui il a travaillé et ceux qui, également lors de la conciliation, ont connu des difficultés et qui ont lutté contre le Conseil, comme vous l'avez entendu.",1,195.661789
Y18,predicted_yes,"Finally, I would like to conclude this speech by drawing attention to the set of measures already adopted in the Council of the European Union and the various Community actions it has implemented.",Voilà pour l'aspect politique.,0,219.382446
Y19,predicted_yes,VOTE,On a parlé de la défense de ces droits de l' homme et je voudrais insister à présent sur l' idée que la proclamation des droits de l' homme a pour corollaire la possibilité de son exercice.,0,107.610390
Y20,predicted_yes,The European Parliament has relayed their concerns and they have been heard.,Rapport Stenzel (A5-0034/2000),1,195.148529
Y21,predicted_yes,Welcome,"la contribution des projets soutenus à la durabilité des activités socio-économiques, et par conséquent à la création d' emplois.",1,162.152771
Y22,predicted_yes,"I just want to outline some of the issues that we, as Socialists, have put down as amendments.","Même si nous n'entendons rien d'autre, nous savons que les reformes que nous attendons vont dans la bonne direction.",1,116.566727
Y23,predicted_yes,We therefore respect whatever Parliament may decide.,"Par conséquent, nous respectons les décisions que pourrait prendre le Parlement dans ce sens.",1,161.861237
Y24,predicted_yes,"Now, finally, the EU' s position is, of course, such that we can achieve high growth and seriously take up the fight against unemployment without jeopardising objectives such as price stability and a balanced budget.",J'espère aussi que le vote ne sera pas un coup dans l'eau et deux points sont tout à fait essentiels pour moi à cet égard.,0,148.271606
Y25,predicted_yes,"In principle, I believe that in many cases where transport is concerned we should be working towards increased flexibility and country-specific rules.","Une UE flexible qui se concentre sur des domaines moins nombreux, mais essentiels et qui respecte les différences nationales et les démocraties nationales a plus de chances d'englober beaucoup plus de pays.",0,163.027924
Y26,predicted_yes,CITES,La Commission multiplie les interventions diplomatiques pour parvenir au nombre de ratifications qui lui permettrait de jouer un rôle plus actif dans le cadre de la CITES.,1,70.886276
Y27,predicted_yes,.,"En réalité, il s'agit de renforcer le pouvoir exécutif, de développer les annexions au libéralisme des pays de l'Est et de relancer la militarisation de l'Europe en augmentant notamment les budgets militaires.",1,134.169144
Y28,predicted_yes,"It is clear that we must redefine the role of Europe in the world economy, creating a competitive Europe, opening the way to new and better jobs and organising this process with an appropriate strategy for social cohesion.","Si la Commission Delors nous a conduit de l'Acte unique au Traité sur l'Union et à un vaste élargissement de la Communauté européenne, j'espère que la Commission Prodi sera la Commission de l'Europe sociale, la Commission qui veillera à ce que le développement économique ne s'accompagne pas de discriminations sociales mais de progrès social.",0,121.337051
Y29,predicted_yes,Obviously we all have different approaches which is demonstrated by our debate and the motions for a resolution tabled at the beginning.,"Face à cette mondialisation néolibérale, sous la domination des marchés financiers, l'exigence, dont notre demande témoigne, grandit, d'une autre idée du monde selon laquelle la loi commune serait celle que dicte le devoir de solidarité dans un monde de plus en plus interdépendant.",1,214.351532
Y30,predicted_yes,"We must therefore welcome the fact that the Helsinki European Council put an end to the speculation and stated in its conclusions, and I quote, that ""If no settlement has been reached by the completion of accession negotiations, the Council' s decision on accession will be made without the above being a precondition"" .","De ce point de vue, l' autre décision d' Helsinki, à savoir la reconnaissance de la candidature de la Turquie à l' Union, confère aux Quinze une responsabilité nouvelle en même temps qu' elle lui offre des possibilités nouvelles. Son dialogue avec Ankara peut et doit, à mes yeux, intégrer la volonté déterminée d' obtenir de la Turquie qu' elle montre vis-à-vis du dialogue entre les deux communautés chypriotes une attitude constructive, respectueuse de la légalité internationale et permettant d' aboutir à une Chypre réunifiée et à la paix en Méditerranée orientale.",1,163.259857
N1,predicted_no,"When farmers are going bankrupt every day in the UK, when the level of suicides amongst farmers and farm-workers has reached unprecedented levels, when the economy of rural Britain is in spiral decline, how can I explain to them that EUR 300 million would be better off spent in Kosovo?",Nous avons donc toute une série de problèmes à résoudre ensemble cette année.,1,138.695221
N2,predicted_no,"A breakdown of the mine-action funding per country by the European Union from 1992 to 1999, as well as for projects in the last year, is attached to the communication and we will continue to provide that sort of financial information as well.","Le troisième cycle de négociations suscite certaines attentes, étant donné les propositions de scénarios en préparation et dans lesquelles interviennent des représentants des Etats-Unis et du Royaume uni, notamment dans les domaines de la sécurité et de la structure constitutionnelle, qui devraient être présentés dans ce cycle par l'intermédiaire du représentant du secrétaire général des Nations unies.",0,143.210846
N3,predicted_no,"How can we ensure respect for our concepts of the freedom of the individual and freedom of expression, which have not yet been harmonised at world level?","Entre retard et urgence, nous ne devons pas nous contenter d' une accélération d' un processus au détriment d' une réflexion des conditions démocratiques et politiques de sa réalisation.",1,150.546936
N4,predicted_no,"Mr President, Commissioner, no one could dispute the usefulness of implementing the qualitative and quantitative data on the fishing industry, particularly in view of the reform of the CFP in 2002.","Monsieur le Président, je voudrais avant tout exprimer ma reconnaissance à la Commission pour l'amélioration que représente le XXVIIIe rapport sur la politique de concurrence au sein de l'Union, par rapport aux éditions précédentes.",0,140.301071
N5,predicted_no,"Finally, and this follows on from what I have just said, we would like the Commission to inform the Committee on Budgets on a very regular basis, monthly, regarding progress on payments made.",C' était un sujet qui exigeait une grande dose de technicité et je pense que M. Knörr l' a traité avec une grande précision et un grand professionnalisme.,0,219.383133
N6,predicted_no,"If you want to better inform the people, you should start by strengthening liaison with this House, as we are the representatives of the citizens.","Nous avons explicitement fait référence, hier matin, dans notre déclaration - à l'instar du Président cet après-midi - au fait que nous partageons les inquiétudes exprimées lundi par 14 États membres dans leur déclaration.",0,195.988205
N7,predicted_no,"However, I have now spoken about updating the VAT system, which means that I can now turn to Mr Helmer and say that I am well aware that these are sensitive issues, I am well aware of the importance accorded to taxation, in the name of national sovereignty, and to the matter of voting upon taxes and, in particular, upon the rates of taxation. After all, I did have a seat in the parliament of my own country for twenty-two years.","Nous voulons distinguer, pour faciliter le travail de la réforme des institutions, entre la gestion quotidienne des politiques (c'est le travail normal de la Commission, et nous avons des rendez-vous réguliers à ce sujet) et la réforme dans la perspective de l'arrivée de treize nouveaux États membres.",1,212.083893
N8,predicted_no,The intention to achieve actual coordination of the socio-economic policy across the board appeals to me a great deal.,"Il faut que l'accord commercial inclue une clause exigeant le développement de la démocratie au Mexique - y compris le respect des droits de l'homme - mais si cette exigence n'est pas suivie d'effets concrets, ce ne seront que de vaines paroles.",0,195.194138
N9,predicted_no,We now face an historical challenge with multiple prospects for all the citizens of Europe.,"Une fois de plus, je peux faire état de deux sessions extrêmement fructueuses, l'une s'étant déroulée à Strasbourg et l'autre à Nassau.",1,160.397583
N10,predicted_no,Confining oneself to deploring the disaster and expressing sympathy for its victims without applying some restraining measures in order to oblige Total to make good all the direct and indirect consequences of the pollution for which it is entirely responsible is tantamount to doing nothing.,"Il faut donc prendre des mesures dans le cadre de la politique commune de pêche et affecter les ressources financières adéquates afin d' assurer le rendement qui s' appuie exclusivement sur l' activité de pêche, plus précisément à des périodes de paralysie ou de réduction de l' activité de pêche.",1,156.591141
N11,predicted_no,"In other words, we should ensure that the money falls to Mr Kouchner' s sphere of competence and not to other spheres.","C'est pourquoi, chère Commission, chère présidence du Conseil, nous voudrions aussi profiter de ce débat pour vous inviter à prendre l'initiative politique afin que nous ne nous retrouvions pas une nouvelle fois amenés à établir la solvabilité dans l'urgence, à la fin du mois, et que nous puissions mettre en place une stratégie d'aide à long terme dans cette région et j'espère que vous respecterez enfin vos engagements politiques à cet égard et que la situation que nous avons connue ces derniers mois ne perdurera pas.",1,161.582733
N12,predicted_no,Can I go ahead?,"En ce qui concerne la proposition visant à réduire le budget d'un million d'euros en faveur de la Commission afin, en contrepartie, d'augmenter les actions ponctuelles, nous estimons qu'il peut s'agir d'une solution possible afin de remédier à la proposition de règlement de la Commission.",1,167.713806
N13,predicted_no,"It is probably horrendous, especially in this particular raft of legislation, that there are confused rules, regulatory vacuums and rules that only lay down undefined legal concepts.",L'initiative communautaire implique une participation des communautés.,0,120.311264
N14,predicted_no,Your report expresses concern about the smart card action.,(Le Parlement adopte la résolution),1,145.992706
N15,predicted_no,"Obviously, the cohesion policy exists for less-favoured regions and cooperation and joint action by the Structural Funds, the Social Fund and the Agricultural Fund exist for the cohesion policy.","Grâce au principe de partenariat et de parité ainsi qu' à l' assistance parlementaire par le biais de l' Assemblée paritaire, il s' agit là d' un modèle mondial.",0,215.901520
N16,predicted_no,Trampling over human rights today paves the way for conflict tomorrow.,"En ce qui concerne la deuxième possibilité, c'est-à-dire garantir un meilleur respect des principes existants, j'estime qu'un des meilleurs moyens consisterait à permettre de poursuivre en justice les contrevenants.",1,40.155403
N17,predicted_no,No one wants an unimpeded subsidy competition in Europe.,"Après la consolidation de l'industrie sidérurgique au cours des dernières années, cela nuirait également considérablement au marché intérieur.",1,132.790161
N18,predicted_no,"To support this statement, I would point to an excellent report drafted by our colleague, Mário Soares, in the international bodies on the state of the seas and oceans.","Comme je l'ai dit, de nombreux amendements ont été introduits, qui garantissent les droits de la défense - je pense ici à l'obligation de la requête du juge pour les interceptions - ou l'interdiction du cumul des fonctions d'enquête et judiciaires en ce qui concerne les équipes communes d'enquête.",0,131.977310
N19,predicted_no,"But it suffered from the war in its vicinity and from the sanctions, as it is still suffering from the sanctions that were rightly imposed on the neighbouring countries.","En effet, les goûts et les couleurs, cela ne se discute pas.",0,201.673447
N20,predicted_no,The natural outcome of this determination is the inclusion of the future charter among the Treaties.,"Mais justement, c' est aussi l' enjeu du travail qui sera mené dans la convention, et au nom de mon groupe, je veux dire l' importance que nous attacherons au contenu de la charte pour ces questions-là.",1,192.565720
N21,predicted_no,"You may rest assured that the other institutions are taking this subject very seriously, and some measures have, in fact, already been taken to combat trafficking, and I would like to sum these up as briefly as possible.","Monsieur le Secrétaire d'État, je crois que vous avez clarifié exactement et parfaitement la question technique des articles 6 et 7.",1,128.445557
N22,predicted_no,Constraints have been identified in this terrible disaster case.,Il n'existe pas d'indépendance du pouvoir judiciaire ou du pouvoir constitutionnel.,1,165.657562
N23,predicted_no,"This has been interpreted as indicating that the Arab attitude towards Israel should be regarded by Europeans as being similar to the Nazis' anti-Semitism, which of course is completely incorrect.","Je me réfère principalement au nud Palestine-Israël, mais cela vaut aussi pour les territoires du Golan, occupés depuis 1967, et du Sud-Liban depuis 1982.",1,164.023605
N24,predicted_no,"Point 38, which was amended for the worse by Amendment No 22, cited again today in the Chamber, imposes on Italy - and who knows why Italy should be singled out - in order to guarantee the impartiality of judges, not the separation of judicial and political authorities, as advocated by Montesquieu, but the separation, within the judiciary, of the careers of judges responsible for giving rulings and investigating magistrates.",L'Union estime que le moment n'est pas encore venu de signer un accord de stabilité et d'association avec ce pays.,0,144.638184
N25,predicted_no,"We want a strong Commission, which can act in an independent and neutral manner, but with political sense.","Monsieur le Président, si la Commission Santer a échoué, c' est aussi parce qu' elle a subi un échec cuisant sur le plan du contrôle financier.",1,163.978607
N26,predicted_no,"To grasp the importance of tourism for some parts of Europe, it is worth pointing out that in my own country, Greece, a country that attracts tourists, over the past four decades, during which the farming population has clearly aged and the population is over-concentrated in the major urban centres, the only areas which have retained populations of low average age or to which young people have returned are ones where tourism has developed.",La question qu'il convient de se poser est de savoir si certaines activités envisagées dans la résolution ne risquent pas d'augmenter la pression sur ses ressources plus qu'il n'est souhaitable.,1,131.977310
N27,predicted_no,It is not to oppose liberalisation to ask that it be done in a way that takes account of these factors and allows the continuation of a universal and affordable postal service.,Vous allez envoyer une mission.,0,121.329872
N28,predicted_no,"In my view, Mr Prodi, judging from the text and the document that you had sent to us, one subject that is very important to both of us has been given secondary importance, and that is solidarity, not so much at international level as at internal level.","Je ne les cite pas tous : la mise en uvre de politiques intersectorielles, augmenter l' efficacité de l' usage des fonds publics, aider les différents partenaires à bâtir ensemble des programmations régionales ou nationales, etc. La Commission en prend bonne note, mais plusieurs de ces orientations ou de ces questions relèvent plutôt d' autres documents comme le Vade-mecum ou le document de travail méthodologique.",0,161.582733
N29,predicted_no,"However, I am obliged to respect the national authority with which I must conduct these negotiations.","Néanmoins, vous me demandez, en gros, si le grand projet de modernisation de la TVA pourrait être adopté avec vos propositions à la majorité qualifiée ?",0,209.170868
N30,predicted_no,"I would like to say thank you for the fact that there was sound the last time I tried it, and I would like to say thank you for the fact that today too there is sound, but back home we also have a picture.","Nous ne lançons donc pas un nouveau processus, nous n'apportons rien de nouveau, mais, pour la première fois, nous complétons les processus existants avec une chance de réussir.",1,116.569580
